id,year,round,roundname,date,hteam,hteamid,hscore,ateam,ateamid,ascore,venue,winner,complete,is_final,is_grand_final,margin,is_home_win,season,round_number
2677,2015,5,Round 5,2015-05-02 19:40:00,West Coast,17,120,Greater Western Sydney,9,33,Subiaco,West Coast,100,0,0,87,1,2015,5
2678,2015,5,Round 5,2015-05-03 13:10:00,Melbourne,11,50,Fremantle,6,118,M.C.G.,Fremantle,100,0,0,-68,0,2015,5
2679,2015,5,Round 5,2015-05-03 15:20:00,St Kilda,15,80,Essendon,5,82,Docklands,Essendon,100,0,0,-2,0,2015,5
2680,2015,5,Round 5,2015-05-03 16:40:00,Adelaide,1,91,Port Adelaide,13,115,Adelaide Oval,Port Adelaide,100,0,0,-24,0,2015,5
2681,2015,6,Round 6,2015-05-08 19:50:00,Collingwood,4,59,Geelong,7,100,M.C.G.,Geelong,100,0,0,-41,0,2015,6
2682,2015,6,Round 6,2015-05-09 13:45:00,North Melbourne,12,109,Richmond,14,74,Bellerive Oval,North Melbourne,100,0,0,35,1,2015,6
2694,2015,6,Round 6,2015-05-09 14:10:00,Western Bulldogs,18,87,St Kilda,15,94,Docklands,St Kilda,100,0,0,-7,0,2015,6
2695,2015,6,Round 6,2015-05-09 16:35:00,Greater Western Sydney,9,108,Hawthorn,10,98,Sydney Showground,Greater Western Sydney,100,0,0,10,1,2015,6
2696,2015,6,Round 6,2015-05-09 17:10:00,Gold Coast,8,78,Adelaide,1,119,Carrara,Adelaide,100,0,0,-41,0,2015,6
2697,2015,6,Round 6,2015-05-09 19:20:00,Melbourne,11,50,Sydney,16,88,M.C.G.,Sydney,100,0,0,-38,0,2015,6
2698,2015,6,Round 6,2015-05-09 20:10:00,Fremantle,6,80,Essendon,5,52,Subiaco,Fremantle,100,0,0,28,1,2015,6
2699,2015,6,Round 6,2015-05-10 15:20:00,Carlton,3,75,Brisbane,2,84,Docklands,Brisbane,100,0,0,-9,0,2015,6
2700,2015,6,Round 6,2015-05-10 16:40:00,Port Adelaide,13,68,West Coast,17,78,Adelaide Oval,West Coast,100,0,0,-10,0,2015,6
2701,2015,7,Round 7,2015-05-15 19:50:00,Essendon,5,82,North Melbourne,12,93,Docklands,North Melbourne,100,0,0,-11,0,2015,7
2702,2015,7,Round 7,2015-05-16 13:45:00,Adelaide,1,119,St Kilda,15,73,Adelaide Oval,Adelaide,100,0,0,46,1,2015,7
2707,2015,7,Round 7,2015-05-16 14:10:00,Hawthorn,10,155,Melbourne,11,50,M.C.G.,Hawthorn,100,0,0,105,1,2015,7
2708,2015,7,Round 7,2015-05-16 16:35:00,Carlton,3,57,Greater Western Sydney,9,135,Docklands,Greater Western Sydney,100,0,0,-78,0,2015,7
2709,2015,7,Round 7,2015-05-16 19:20:00,Sydney,16,120,Geelong,7,77,Stadium Australia,Sydney,100,0,0,43,1,2015,7
2710,2015,7,Round 7,2015-05-16 19:40:00,West Coast,17,135,Gold Coast,8,43,Subiaco,West Coast,100,0,0,92,1,2015,7
2711,2015,7,Round 7,2015-05-17 13:10:00,Western Bulldogs,18,88,Fremantle,6,101,Docklands,Fremantle,100,0,0,-13,0,2015,7
2712,2015,7,Round 7,2015-05-17 15:20:00,Richmond,14,105,Collingwood,4,100,M.C.G.,Richmond,100,0,0,5,1,2015,7
2713,2015,7,Round 7,2015-05-17 16:40:00,Brisbane,2,102,Port Adelaide,13,65,Gabba,Brisbane,100,0,0,37,1,2015,7
2714,2015,8,Round 8,2015-05-22 19:50:00,Geelong,7,140,Carlton,3,63,Docklands,Geelong,100,0,0,77,1,2015,8
2715,2015,8,Round 8,2015-05-23 13:45:00,St Kilda,15,78,West Coast,17,131,Docklands,West Coast,100,0,0,-53,0,2015,8
