date,season,round_number,home_team,away_team,venue,home_elo,away_elo,elo_diff,elo_prob,home_form_5,home_form_10,away_form_5,away_form_10,home_avg_margin_5,away_avg_margin_5,home_avg_score_5,away_avg_score_5,home_avg_conceded_5,away_avg_conceded_5,home_streak,away_streak,h2h_home_wins_5,h2h_avg_margin_5,home_venue_win_rate,away_venue_win_rate,is_home_ground,days_rest_home,days_rest_away,home_win,margin
2015-04-26 13:10:00,2015,4,Brisbane,West Coast,Gabba,1454.7,1484.38,10.32,0.5149,,,,,,,,,,,-3,-1,,,0.0,,0,7.0,6.0,0,-53
2015-04-26 15:20:00,2015,4,Geelong,North Melbourne,GMHBA Stadium,1484.37,1481.93,42.44,0.5608,,,,,,,,,,,1,-1,,,0.5,,0,7.0,7.0,0,-16
2015-04-26 16:40:00,2015,4,Western Bulldogs,Adelaide,Docklands,1515.52,1542.16,13.36,0.5192,,,,,,,,,,,-1,3,,,1.0,1.0,0,7.0,8.0,1,57
2015-05-01 19:50:00,2015,5,Carlton,Collingwood,M.C.G.,1472.83,1530.01,-17.18,0.4753,,,,,,,,,,,1,2,,,0.0,1.0,0,6.0,6.0,0,-75
2015-05-02 13:45:00,2015,5,Richmond,Geelong,M.C.G.,1497.43,1467.54,69.89,0.5992,,,,,,,,,,,-1,-1,,,0.3333,0.0,0,7.0,5.0,0,-9
2015-05-02 14:10:00,2015,5,Sydney,Western Bulldogs,S.C.G.,1528.99,1529.95,39.05,0.556,,,,,,,,,,,-1,1,,,1.0,,0,6.0,5.0,0,-4
2015-05-02 16:35:00,2015,5,Gold Coast,Brisbane,Carrara,1445.83,1439.26,46.57,0.5666,,,,,,,,,,,-4,-4,,,0.0,,0,6.0,6.0,1,64
2015-05-02 19:20:00,2015,5,North Melbourne,Hawthorn,Docklands,1498.75,1499.16,39.59,0.5567,,,,,,,,,,,1,-1,,,0.5,,0,6.0,6.0,0,-60
2015-05-02 19:40:00,2015,5,West Coast,Greater Western Sydney,Subiaco,1499.82,1527.33,12.49,0.518,,,,,,,,,,,1,1,,,0.5,,0,6.0,7.0,1,87
2015-05-03 13:10:00,2015,5,Melbourne,Fremantle,M.C.G.,1505.99,1557.52,-11.53,0.4834,,,,,,,,,,,1,4,,,1.0,,0,8.0,7.0,0,-68
2015-05-03 15:20:00,2015,5,St Kilda,Essendon,Docklands,1468.78,1499.66,9.12,0.5131,,,,,,,,,,,-2,-1,,,0.0,,0,8.0,8.0,0,-2
2015-05-03 16:40:00,2015,5,Adelaide,Port Adelaide,Adelaide Oval,1527.74,1503.4,64.35,0.5916,,,,,,,,,,,-1,2,,,1.0,0.5,0,7.0,7.0,0,-24
2015-05-08 19:50:00,2015,6,Collingwood,Geelong,M.C.G.,1544.27,1485.52,98.75,0.6384,0.8,,0.4,,30.8,-20.8,95.6,75.6,64.8,96.4,3,1,,,1.0,0.5,0,7.0,6.0,0,-41
